Gene ID	Gene Name	g1.WithInSampleAbundance	g7.WithInSampleAbundance	g6.WithInSampleAbundance	g10.WithInSampleAbundance	g5.WithInSampleAbundance	g3.WithInSampleAbundance	g8.WithInSampleAbundance	g9.WithInSampleAbundance	g2.WithInSampleAbundance	g4.WithInSampleAbundance
EIF6		115678	79998	105523	69779	88826	94006	132675	82022	109640	72731
EIPR1		8288	5293	6834	4164	5435	6373	9469	7001	5259	4302
ELAC2		1304	654	636	1385	822	632	838	833	866	730
ELANE		3030	5776	0	0	0	0	0	4368	9830	0
ELAPOR1		1392	3812	6162	0	2924	7386	9911	15546	4589	3694
ELAVL1		57166	42335	48162	36198	56229	49734	59744	43023	73053	27997
ELF1		3155	2527	1858	0	2717	2846	1591	1143	2026	932
ELMO1		4997	1436	1824	1241	2795	3318	2301	767	2819	1528
ELMO2		3203	894	1878	1392	2310	2246	1355	2107	4665	1491
ELMO3		80	0	443	0	492	1115	1486	1005	355	0
ELMOD2		7225	6382	7219	2683	8544	9949	12969	11522	8868	4783
ELN		0	1209	1588	730	3471	495	0	0	1195	0
ELOA		0	0	0	0	0	0	0	129	0	0
ELOB		20040	58647	22895	31576	97112	44594	35207	57127	22590	44645
ELOC		16817	20235	22235	14985	28818	22033	34744	40867	27578	28690
ELOVL1		0	0	557	0	0	0	0	1351	0	2674
ELOVL5		1068	2880	6114	136	1666	1638	1522	16806	3795	5782
ELP1		1059	1513	2124	193	1394	1211	2529	1544	553	968
ELP2		4518	2541	3737	276	1970	2438	8490	4665	2701	2311
ELP3		2500	2896	2746	1318	3545	2671	2339	6447	4419	3376
ELP5		441	0	0	0	2717	330	4228	3521	0	0
EMC1		6419	3395	3473	5233	2985	5656	4945	4538	2745	3821
EMC2		8340	4161	5461	5318	3089	6860	6557	6085	3160	2744
EMC3		2721	2572	1246	1858	821	2270	1906	2760	2102	4643
EMC4		17401	2591	9231	7509	5199	12291	14467	5406	4494	5505
EMC6		24336	6317	14076	8875	22657	31834	16503	15584	22866	0
EMC7		5697	867	4443	0	3876	5867	3863	4086	0	1082
EMD		15243	29697	21933	8822	23047	19592	21380	60861	23577	52430
EMG1		3563	0	882	0	2901	864	1159	752	0	411
EMILIN1		24970	36873	30422	26327	78820	41956	17046	14993	48024	26462
EMILIN2		1834	484	628	423	1088	1837	453	385	1371	482
EML1		0	0	1084	860	0	1138	0	521	0	577
EML2		12144	10014	15598	7675	18451	8554	31860	29874	8842	4156
EML3		1728	1363	1699	1435	1497	1730	2188	2926	1778	1060
EML4		5927	4240	4804	4382	3492	3603	3156	4062	3824	7400
ENAH		5425	4932	6574	2887	2695	1854	2130	3596	2152	12694
